group ,genus     ,individual ,scientific_name       ,common_name        ,form ,AGEmax ,DBHmax ,Hmax ,rootdepth ,s     ,g     ,beta ,bulk  ,D_L  ,L_C   ,DEGDmin ,DEGDopt ,DEGDmax ,shade ,drought ,flood ,perm ,nutrient ,bark_thick ,F_i   ,fire_regn ,stress_tol ,death_tol ,dbh_min ,evegreen ,litter_class ,invader ,seed ,sprout ,layering ,org_tol ,recr_age ,min_recr_dbh ,seedRain_a ,seedRain_b ,NDE ,NDS  ,species_code ,host ,plant_dens
3,'Alnus'   ,2,'Alnus_sinuata'       ,'Green_alder'      ,2,50,20,9,0.5,0.884,1.65,1.17,0.437,0.17,0.145,200,696,1115,5,4,2,2,1,0.021,0.094,3,1,3,0.01,0,4,1,100,1,1,1,1,1,12.9129,0.0029,0.5,0.5,ALNUsinu     ,0,0
3,'Alnus'   ,3,'Alnus_tenuifolia'    ,'Mountain_alder'   ,2,50,20,9,0.5,0.884,1.65,1.17,0.437,0.17,0.145,200,1786,3320,5,4,1,2,1,0.021,0.094,2,1,2,0.01,0,4,1,100,0,0,2,1,1,12.9129,0.0029,0.5,0.31,ALNUtenu     ,0,0
5,'Betula'  ,2,'Betula_neoalaskana'  ,'Alaska_birch'     ,1,170,50,21,1.43,1.8,1.521,1.52,0.55,0.17,0.145,506,790,2400,4,3,6,2,3,0.021,0.094,3,1,3,0.03,0,4,1,100,1,0,3,10,10,12.9129,0.0029,0.3,0.3,BETUneoa     ,0,1075
10,'Larix'   ,1,'Larix_laricina'      ,'Tamarack_larch'   ,1,335,51,24,1.43,0.967,0.628,1.18,0.532,0.12,0.273,330,770,1000,5,3,3,2,1,0.022,0.094,2,2,3,0.03,0,12,0.1,10,0,0,2,15,10,14.3257,0.00448,0.5,0.5,LARIlari     ,0,1680
12,'Picea'   ,2,'Picea_glauca'        ,'White_spruce'     ,1,200,75,34,1.43,0.9,1.5,1.18,0.421,0.12,0.199,280,663,1010,2,4,4,2,2,0.022,0.11,3,2,2,0.015,1,11,0.1,1,0,0,2,15,10,12.747,0.00351,0.7,0.7,PICEglau     ,0,1680
12,'Picea'   ,3,'Picea_mariana'       ,'Black_spruce'     ,1,250,52,27,1.43,0.9,1.391,1.18,0.434,0.12,0.199,330,756,1000,1,5,1,1,1,0.014,0.11,1,1,3,0.01,1,11,0.001,10,0,1,1,30,10,12.747,0.00351,0.7,0.7,PICEmari     ,0,1977
13,'Populus' ,1,'Populus_balsamifera' ,'Balsam_poplar'    ,1,150,75,23,1.43,1.4,1.757,1.52,0.42,0.03,0.123,160,770,2700,5,3,6,2,3,0.014,0.094,2,4,3,0.05,0,7,1,200,3,0,3,10,10,12.9129,0.0029,0.1,0.3,POPUbals     ,0,741
13,'Populus' ,2,'Populus_tremuloides' ,'Quaking_aspen'    ,1,100,75,25,1.43,1.5,2.94,1.52,0.422,0.03,0.123,260,740,2900,5,1,6,2,3,0.014,0.094,3,4,3,0.05,0,7,1,400,3,0,3,10,10,12.9129,0.0029,0.1,0.3,POPUtrem     ,1,1334
16,'Salix'   ,1,'Salix_planifolia'    ,'Planeleaf_willow' ,3,25,8,2.5,0.5,0.866,0.745,1.17,0.44,0.17,0.105,50,610,1000,5,4,4,2,1,0.021,0.094,3,1,3,0.001,0,7,1,200,1,0,2,1,1,12.9129,0.0029,0.3,0.3,SALIplan     ,0,0
17,'Salix'   ,2,'Salix_scouleriana'   ,'Scouler_willow'   ,2,45,10,12,0.5,0.424,1.709,2.15,0.44,0.17,0.105,330,660,1220,5,3,1,1,1,0.021,0.094,3,1,3,0.01,0,7,1,100,5,0,2,1,1,12.9129,0.0029,0.6,0.6,SALIscou     ,0,0
14,'Pinus',2,'Pinus_contorta','Lodgepole_pine',1,150,42,30,1.43,1.46,1.71,1.18,0.413,0.12,0.273,300,730,1030,4,1,2,2,2,0.22,0.11,1,3,3,0.03,1,12,1,50,0,0,1,15,10,12.747,0.00351,0.7,0.7,PINUcont,0,0
12,'Picea',1,'Picea_engelmannii','Englmann_spruce',1,300,80,40,1.43,1.012,1.145,1.18,0.387,0.12,0.199,300,600,1665,2,4,5,2,1,0.022,0.11,2,2,2,0.03,1,11,1,1,0,0,1,40,10,12.747,0.00351,0.7,0.7,PICEenge,0,0
1,'Abies',2,'Abies_lasiocarpa','Subalpine_fir',1,250,76,40,1.43,1.066,1.373,1.47,0.364,0.12,0.19,375,775,1665,2,5,4,2,3,0.015,0.11,3,3,3,0.03,1,11,1,1,0,1,1,20,10,12.747,0.00351,0.5,0.5,ABIElasi,0,0
