stratum,totstems,ALNUsinu,ALNUtenu,BETUneoa,LARIlari,PICEglau,PICEmari,POPUbals,POPUtrem,SALIplan,SALIscou
1,1981.742,0,0,0.114713216957606,0,0.790523690773067,0.0748129675810474,0.0174563591022444,0.00249376558603491,0,0
2,2851.534,0,0,0.0424610051993068,0,0.83102253032929,0.116984402079723,0,0.00953206239168111,0,0
3,2382.044,0,0,0.780082987551867,0,0.162863070539419,0.0363070539419087,0.0020746887966805,0.0186721991701245,0,0
4,1366.463,0,0,0.72875226039783,0,0.262206148282098,0.00180831826401447,0,0.00723327305605787,0,0
5,3400.096,0,0,0.130087209302326,0,0.259447674418605,0.0138081395348837,0.032703488372093,0.563953488372093,0,0
6,6738.417,0,0,0.00916758342500917,0,0.545654565456546,0.0645397873120645,0.022002200220022,0.358635863586359,0,0
7,2900.954,0,0,0.443781942078365,0,0.241056218057922,0.0289608177172061,0.0264054514480409,0.259795570698467,0,0
8,1544.375,0,0,0.392,0,0.1776,0,0.12,0.3104,0,0
9,1470.245,0,0,0.314285714285714,0,0.672268907563025,0.00336134453781513,0.00840336134453781,0.00168067226890756,0,0
10,2016.336,0,0,0.425245098039216,0,0.449754901960784,0.125,0,0,0,0
11,1793.946,0,0,0.0826446280991735,0,0.727272727272727,0,0.0179063360881543,0.172176308539945,0,0
12,2137.415,0,0,0.256647398843931,0,0.564161849710983,0.0739884393063584,0,0.105202312138728,0,0
13,2747.752,0,0,0.0710431654676259,0,0.616906474820144,0.0233812949640288,0.276978417266187,0.0116906474820144,0,0
14,2782.346,0,0,0.170515097690941,0,0.593250444049734,0.135879218472469,0.00355239786856128,0.0968028419182948,0,0
15,4890.109,0,0,0.34967155128853,0,0.400202122283982,0.0843860535624052,0.0581101566447701,0.107630116220313,0,0
16,5940.284,0,0,0.045757071547421,0,0.263727121464226,0.670965058236273,0.00249584026622296,0.0170549084858569,0,0
20,2000,0,0,0,0,0,1,0,0,0,0
